chapter	animation	source_file	author	license	page_url
ch23	SmallIntestineVilli	2417 Small IntestineN.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2417_Small_IntestineN.jpg
ch23	AccessoryOrgans	2422 Accessory Organs.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2422_Accessory_Organs.jpg
ch23	ChemicalDigestion	2426 Mechanical and Chemical DigestionN.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2426_Mechanical_and_Chemical_DigestionN.jpg
ch24	AnabolismCatabolism	103 Metabolism.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:103_Metabolism.jpg
ch24	CellularRespiration	2503 Cellular Respiration.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2503_Cellular_Respiration.jpg
ch24	MetabolicStates	2522 The Postabsorptive Stage.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2522_The_Postabsorptive_Stage.jpg
ch24	SixNutrients	2024 Agricultural Outlook Forum - Field Trip (20240214-USDA-OC-CDP-0011).jpg	USDAgov		Public domain
ch24	Vitamins	J. C. Drummond, The Nomenclature of the So-called Accessory Food Factors (Vitamins), 1920.png	Jack Drummond		Public domain
ch24	EnergyBalance	103 Metabolism.jpg	OpenStax	CC BY 4.0	https://commons.wikimedia.org/wiki/File:103_Metabolism.jpg
ch25	UrinarySystem	Urinary system.jpg	Robystarm07		CC0
ch25	KidneyAnatomy	2610 The Kidney.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2610_The_Kidney.jpg
ch25	TheNephron	2611 Blood Flow in the Nephron.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2611_Blood_Flow_in_the_Nephron.jpg
ch25	UrineFormation	2618 Nephron Secretion Reabsorption.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2618_Nephron_Secretion_Reabsorption.jpg
ch25	HormonalControl	2610 The Kidney.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2610_The_Kidney.jpg
ch25	Micturition	2605 The Bladder.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2605_The_Bladder.jpg
ch26	FluidCompartments	2702 Fluid Compartments ICF ECF.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2702_Fluid_Compartments_ICF_ECF.jpg
ch26	Electrolytes	2705 Sodium Potassium Pump.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2705_Sodium_Potassium_Pump.jpg
ch26	pHBuffers	2714 Respiratory Regulation of Blood.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2714_Respiratory_Regulation_of_Blood.jpg
ch26	AcidBaseControl	215 Acids and Bases-01.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:215_Acids_and_Bases-01.jpg
ch26	AcidBaseDisorders	2716 Symptoms of Acidosis Alkalosis.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2716_Symptoms_of_Acidosis_Alkalosis.jpg
ch27	MaleAnatomy	Reproductive system - Male genital apparatus -- Smart-Servier.png	Laboratoires Servier		CC BY-SA 3.0
ch27	Spermatogenesis	A diagram showing the pattern of spermatogenesis in G. caespitosa.png	Lu Y, Aitken RJ, Lin M		CC BY 4.0
ch27	FemaleAnatomy	Blausen 0399 FemaleReproSystem 01.png	BruceBlaus . When using this image in external sources it can be cited as: Blausen.com staff (2014).		CC BY 3.0
ch27	Oogenesis	Parasite160001-fig6 - Oogenesis in Crepidostomum metoecus (Digenea) (diagram).png	Samuel Greani, Yann Quilichini and Bernard Marchand		CC BY 4.0
ch27	MenstrualCycle	Hormones in menstrual cycle.png	Mikael Häggström		Public domain
ch27	Meiosis	Cell division - Meiosis -- Smart-Servier.jpg	Laboratoires Servier		CC BY-SA 3.0
ch28	Fertilization	2901 Sperm Fertilization.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2901_Sperm_Fertilization.jpg
ch28	EarlyDevelopment	2903 Preembryonic Cleavages-02.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2903_Preembryonic_Cleavages-02.jpg
ch28	GermLayers	2908 Germ Layers-02.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2908_Germ_Layers-02.jpg
ch28	FetalTimeline	2904 Preembryonic Development-02.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2904_Preembryonic_Development-02.jpg
ch28	PregnancyBirth	2910 The Placenta-02.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2910_The_Placenta-02.jpg
ch28	Inheritance	2925 Autosomal Dominant Inheritance.jpg	OpenStax	CC BY 3.0	https://commons.wikimedia.org/wiki/File:2925_Autosomal_Dominant_Inheritance.jpg
